Operation,Base,500,1000,2000,5000,10000,Min,Max,Orders,OrdersNumeric,Alert
create,142,160,154,143,136,178,136,178,1x,1,
sync,3,40,76,132,345,1327,3,1327,422x,422,⚠️
syncAll,7,376,59623,119463,298898,7055899,7,7055899,998500x,998500,🚨
storage,0,82,81,80,86,259,0,259,1x,1,
inboxState,0,0,3,0,0,1,0,3,10x,10,
canMessage,3,5,4,4,5,6,3,6,2x,2,
newDm,21,27,24,32,36,203,21,203,10x,10,
streamMessage,52,29,97,35,124,1030,29,1030,36x,36,⚠️
newDmByAddress,57,41,61,45,57,1615,41,1615,40x,40,⚠️
getConversationById,1,1,2,3,5,7,1,7,7x,7,
send,9,10,9,13,12,1214,9,1214,140x,140,⚠️
setConsentStates,1,-,-,-,-,-,0,1,4x,4,
newGroup-10,43,50,46,61,56,1966,43,1966,46x,46,⚠️
newGroupByAddress-10,38,33,51,62,95,247,33,247,7x,7,
groupsync-10,4,5,5,7,18,98,4,98,23x,23,
updateName-10,8,8,8,9,11,418,8,418,52x,52,⚠️
send-10,6,6,5,10,9,88,5,88,16x,16,
addMember-10,2,2,2,7,2,10,2,10,7x,7,
removeMembers-10,10,13,10,26,20,2112,10,2112,216x,216,🚨
streamMembership-10,106,79,103,98,122,115,79,122,2x,2,
streamMessage-10,45,53,47,72,113,71,45,113,3x,3,
streamMetadata-10,126,63,76,82,120,112,63,126,2x,2,
sync-10,17,22,153,76,20,185,17,185,11x,11,
syncAll-10,24,142,150,225,215,240,24,240,10x,10,
syncCumulative-10,13,13,13,98,133,34,13,133,10x,10,
syncAllCumulative-10,26,103,61,182,219,281,26,281,11x,11,
newGroup-50,227,168,196,192,231,435,168,435,3x,3,
newGroupByAddress-50,187,186,223,281,296,604,186,604,3x,3,
groupsync-50,6,7,7,9,16,18,6,18,3x,3,
updateName-50,12,18,15,13,18,18,12,18,2x,2,
send-50,7,18,11,15,12,15,7,18,3x,3,
addMember-50,2,4,25,36,5,6,2,36,16x,16,
removeMembers-50,19,20,22,30,26,28,19,30,2x,2,
streamMembership-50,99,123,126,143,126,172,99,172,2x,2,
streamMessage-50,36,59,75,64,88,83,36,88,2x,2,
streamMetadata-50,91,77,88,114,102,157,77,157,2x,2,
sync-50,64,58,144,144,172,210,58,210,4x,4,
syncAll-50,77,90,227,267,203,263,77,267,3x,3,
syncCumulative-50,52,52,76,105,185,200,52,200,4x,4,
syncAllCumulative-50,67,102,143,169,305,350,67,350,5x,5,
newGroup-100,569,502,466,461,629,622,461,629,1x,1,
newGroupByAddress-100,482,674,514,531,531,741,482,741,2x,2,
groupsync-100,9,15,11,13,16,23,9,23,2x,2,
updateName-100,20,21,19,19,21,24,19,24,1x,1,
send-100,17,9,14,22,12,18,9,22,2x,2,
addMember-100,3,10,27,22,17,11,3,27,10x,10,
removeMembers-100,29,47,50,60,92,51,29,92,3x,3,
streamMembership-100,128,127,137,163,207,195,127,207,2x,2,
streamMessage-100,74,83,93,86,77,96,74,96,1x,1,
streamMetadata-100,93,106,110,93,124,144,93,144,2x,2,
sync-100,120,82,220,123,242,254,82,254,3x,3,
syncAll-100,259,283,286,179,240,395,179,395,2x,2,
syncCumulative-100,91,176,148,107,158,104,91,176,2x,2,
syncAllCumulative-100,146,155,203,277,156,367,146,367,3x,3,
